id|iso_country|slug_place|latitude|longitude|nearest_iata_code|kdtree_dist_ns_cities_id
za:skukuza|za|Skukuza|-24.967851977779276|31.58878326416016|SZK|0.021866489977824127|
pa:colon|pa|Colon|9.357222|-79.898611|ONX|0.02485913524240372|
ec:puerto lopez|ec|Puerto Lopez |-1.566667|-80.816667|CO_0633|0.010280981373385078|
ar:santa cruz|ar|Santa Cruz|-48.62|-70.01|FTE|2.9686362013307175|
es:vitoria|es|Vitoria |42.859166|-2.681792|VIT|0.014935421654577218|
es:xativa|es|Xativa|38.989957|-0.523547|VLC|0.5102268447053747|
es:zaragoza|es|Zaragoza|41.65|-0.883333|ZAZ|0.0066669999999999785|
es:muro mallorca|es|Muro, Mallorca|39.73717424208877|3.0592232111893622|PMI|0.44205590636066566|
ar:santa fe|ar|Santa Fe|-31.610658|-60.697294|SFN|0.01511796944037052|
es:costa vasca|es|Costa Vasca|43.367122441110716|-2.0283508300781254|EAS|0.06723681486052234|
es:costa cantábrica|es|Costa Cantábrica |43.4220062741493|-3.4510803222656254|SDR|0.3513797266548206|
es:costa verde|es|Costa Verde|43.49876012743523|-5.229492187500001|LEN|0.9798294454334098|
es:rías altas|es|Rías Altas|43.65793702655821|-7.723388671875001|LCG|0.7699415795110142|
es:rias baixas|es|Rias Baixas|42.435620156499795|-8.865966796875002|VGO|0.2549098306096575|
za:tsitsikamma national park|za|Tsitsikamma National Park|-34.0386034|23.85570919999998|PBZ|0.48431439340182564|
za:roodepoort|za|Roodepoort|-26.156131342431184|27.886433601379398|JNB|0.14423470621057546|
za:boksburg|za|Boksburg|-26.21428301278354|28.260827064514164|JNB|0.23503642044034867|
za:germiston|za|Germiston|-26.230183015695307|28.180575370788578|JNB|0.16215713880769683|
za:sandton|za|Sandton|-26.10920376334051|28.051904607564218|JNB|0.06462193299878369|
za:kleinzee|za|Kleinzee|-29.678153877270425|17.071927953511477|SBU|0.8114528878052614|
za:springbok|za|Springbok|-29.666252035604046|17.882216444704685|SBU|0.0011725033808235468|
za:bellville|za|Bellville|-33.89837366673106|18.62774320878089|CPT|0.19395268191446308|
za:bloubergstrand|za|Bloubergstrand|-33.797292862535315|18.4601587895304|CPT|0.12525975521057267|
za:brenton on sea|za|Brenton-on-Sea|-34.07222205160067|23.024790287017826|PBZ|0.34735873030266234|
za:montagu|za|Montagu|-33.783677386695956|20.122725963592533|CPT|1.6932226029327604|
za:graaff reinet|za|Graaff-Reinet|-32.25325906778486|24.53297512605787|PLZ|2.021321723515117|
za:mkuze|za|Mkuze|-27.61820091697374|32.03238861635327|HLW|0.48503996863429166|
za:paulpietersburg|za|Paulpietersburg|-27.472638198039103|30.830900967121128|VYD|0.29025797893883676|
za:clarens|za|Clarens|-28.513905566260284|28.420445406809453|FCB|0.6481742082448306|
pe:playas del norte|pe|Playas del Norte|-4.142756839003084|-80.750263575855|MCA|0.340067091024256|
pe:selva central|pe|Selva Central|-10.75746595639724|-74.52329975918282|SFK|0.512583860216882|
cr:jacó|cr|Jacó|9.654907854199024|-84.59197998046875|LIO|0.2513485478017145|
cr:puerto jimenez|cr|Puerto Jimenez|8.536108|-83.301265|PJM|0.024619786368084193|
es:costa blanca|es|Costa Blanca|38354.0|-408.0|M01|38154.70129308882|
cr:arenal|cr|Arenal|10.463333|-84.703333|A19|0.21491644371243915|
co:armenia|co|Armenia|4.540726152469631|-75.66928532060119|AXM|0.013449241051435466|
cu:baracoa cuba|cu|Baracoa, Cuba|20.348611|-74.510556|BCA|0.007282866448041335|
do:bayahibe|do|Bayahibe|18.318906|-68.751268|BYE|0.10097082083454059|
co:bucaramanga|co|Bucaramanga|7.119349|-73.12274159999998|BGA|0.01120533317488207|
do:boca chica dominicana|do|Boca Chica, Dominicana|18.452935|-69.606561|AR6|0.002823428058229316|
co:bogota|co|Bogota|4.598889|-74.080833|BOG|0.0035044557352002436|
pa:bocas del toro|pa|Bocas del Toro|9.340556|-82.240556|BOC|0.008648900045673683|
mx:los cabos|mx|Los Cabos|23.046232748080598|-109.70956340740815|SJD|0.01882428771576468|
